,Municipality,Year,Weighted Mean
148,Burlington city,2016,-1.5280683577749596
149,Mukwonago village,2016,-1.5280683577749596
150,Whitewater city,2015,1.7424237007329686
151,Delavan city,2015,1.5234455210578424
152,Sharon village,2015,1.344151446523573
153,Darien village,2015,1.3374070306540633
154,Lake Geneva city,2015,1.1168285226516652
155,Walworth village,2015,1.104309582131634
156,Geneva town,2015,0.6653253432647899
157,East Troy village,2015,0.5357158289299404
158,Darien town,2015,0.5141125049581459
159,Bloomfield village,2015,0.4349158716734955
160,Walworth town,2015,0.4106380512055343
161,Linn town,2015,0.3360511357321365
162,Elkhorn city,2015,0.3304482088420984
163,Genoa City village,2015,0.2763957198503616
164,Williams Bay village,2015,0.1616834428464297
165,Bloomfield town,2015,0.1434608382264111
166,Delavan town,2015,0.0763594037648179
167,Lyons town,2015,0.0341573270652533
168,Sharon town,2015,0.0047530679115987
169,East Troy town,2015,-0.0036887563375757
170,Richmond town,2015,-0.0670452492072549
171,La Grange town,2015,-0.0995860335442656
172,Troy town,2015,-0.107669804915117
173,Sugar Creek town,2015,-0.1460180008615218
174,Spring Prairie town,2015,-0.2204650764852824
175,Lafayette town,2015,-0.3420500201483049
176,Mukwonago village,2015,-0.4714376646900684
177,Whitewater town,2015,-0.4731866710519014
178,Fontana-on-Geneva Lake village,2015,-0.567206488589103
179,Burlington city,2015,-1.5280683577749596
180,Whitewater city,2014,1.7461842090033164
181,Darien village,2014,1.7139873475979062
182,Lake Geneva city,2014,1.2574704850931917
183,Delavan city,2014,1.2338670315799944
184,Sharon village,2014,1.1784705238923514
185,Walworth village,2014,1.1186427155074992
186,Geneva town,2014,0.8591343888393054
187,Bloomfield village,2014,0.7511131155644466
188,Elkhorn city,2014,0.6640817294043969
189,Genoa City village,2014,0.4498281287462954
190,Bloomfield town,2014,0.4494006618946896
191,Linn town,2014,0.3990511137447857
192,East Troy village,2014,0.3955346774844347
193,Walworth town,2014,0.31665816576697
194,Lyons town,2014,0.1937398963886512
195,Spring Prairie town,2014,0.1837027469072225
196,Delavan town,2014,0.1618655419066603
197,Darien town,2014,0.1453856811398775
198,Williams Bay village,2014,0.0231800813510534
199,Richmond town,2014,0.0200113344572087
200,Sharon town,2014,-0.0217664690644837
201,Troy town,2014,-0.0720047426925128
202,Sugar Creek town,2014,-0.1192667797726574
203,La Grange town,2014,-0.1532400797545745
204,Lafayette town,2014,-0.28603591205813
205,Mukwonago village,2014,-0.3049189053077769
206,East Troy town,2014,-0.387897361171036
207,Fontana-on-Geneva Lake village,2014,-0.4885353073854403
208,Whitewater town,2014,-0.5502256553924528
209,Burlington city,2014,-1.5280683577749596
210,Bloomfield town,2021,0.5614235943095717
211,Whitewater city,2021,
212,Delavan city,2021,
213,Darien town,2021,0.42591881585419716
214,Walworth village,2021,
215,Sharon village,2021,
216,Lake Geneva city,2021,
217,Bloomfield village,2021,0.18177811998047452
218,Elkhorn city,2021,0.16471947519749588
219,Walworth town,2021,-0.0753416048507691
220,Linn town,2021,-0.09433023734657536
221,Williams Bay village,2021,-0.0302340067791838
222,Genoa City village,2021,-0.18322419802984885
223,Delavan town,2021,-0.2428016609315698
224,Geneva town,2021,-0.35587862357693223
225,Darien village,2021,
226,Richmond town,2021,
227,Sharon town,2021,-0.5216250784135498
228,Fontana-on-Geneva Lake village,2021,
229,Whitewater town,2021,
230,East Troy village,2021,-0.6143928374604847
231,Spring Prairie town,2021,
232,East Troy town,2021,
233,Troy town,2021,
234,La Grange town,2021,
235,Lyons town,2021,-0.9314456906784545
236,Lafayette town,2021,
237,Sugar Creek town,2021,
238,Mukwonago village,2021,
239,Burlington city,2021,
