Municipality,Year,No health insurance coverage,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999",Unemployed,No vehicles available,Less than 9th grade,"9th to 12th grade, no diploma",Child,Foreign born,"Speak English less than ""very well""",With a broadband Internet subscription,Average family size,Median age (years)
Linn town,2019,0.09,0.03,0.03,0.06,0.03,0.01,0.03,0.06,0.26,0.10,0.08,0.89,2.78,50.10
Lyons town,2019,0.02,0.01,0.01,0.05,0.03,0.03,0.01,0.05,0.29,0.01,0.01,0.82,3.00,45.60
Mukwonago village,2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,1.00,3.62,33.40
Richmond town,2019,0.03,0.04,0.03,0.06,0.02,0.00,0.03,0.04,0.30,0.02,0.01,0.81,3.09,46.30
Sharon town,2019,0.03,0.03,0.01,0.08,0.01,0.03,0.05,0.05,0.23,0.08,0.05,0.76,2.74,53.60
Sharon village,2019,0.09,0.05,0.03,0.14,0.05,0.03,0.05,0.20,0.31,0.10,0.09,0.88,3.06,37.00
Spring Prairie town,2019,0.06,0.01,0.03,0.04,0.01,0.00,0.02,0.03,0.22,0.03,0.00,0.86,2.76,48.40
Sugar Creek town,2019,0.05,0.01,0.02,0.05,0.01,0.05,0.01,0.08,0.28,0.04,0.02,0.85,2.84,47.40
Troy town,2019,0.07,0.05,0.04,0.06,0.02,0.02,0.00,0.06,0.21,0.02,0.01,0.84,2.77,50.50
Walworth town,2019,0.04,0.06,0.05,0.06,0.02,0.09,0.01,0.09,0.30,0.04,0.02,0.75,3.07,46.10
Walworth village,2019,0.07,0.05,0.03,0.11,0.02,0.05,0.07,0.07,0.35,0.12,0.09,0.78,3.29,40.30
Whitewater city,2019,0.07,0.18,0.09,0.10,0.04,0.09,0.02,0.05,0.15,0.04,0.02,0.76,2.77,21.90
Whitewater town,2019,0.08,0.01,0.01,0.03,0.03,0.01,0.01,0.05,0.23,0.06,0.04,0.85,2.66,50.00
Williams Bay village,2019,0.04,0.01,0.05,0.16,0.04,0.05,0.00,0.02,0.27,0.03,0.01,0.84,2.85,47.70
Bloomfield town,2018,0.11,0.04,0.03,0.12,0.03,0.02,0.02,0.07,0.32,0.09,0.05,0.81,2.98,35.80
Bloomfield village,2018,0.07,0.04,0.06,0.09,0.06,0.03,0.01,0.10,0.38,0.03,0.01,0.86,3.21,39.30
Burlington city,2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,38.60
Darien town,2018,0.15,0.02,0.04,0.03,0.02,0.01,0.06,0.09,0.32,0.13,0.14,0.80,3.28,43.20
Darien village,2018,0.12,0.02,0.02,0.06,0.05,0.00,0.02,0.10,0.32,0.05,0.03,0.80,3.26,32.90
Delavan city,2018,0.16,0.07,0.04,0.11,0.03,0.11,0.11,0.10,0.29,0.16,0.14,0.77,3.15,36.10
Delavan town,2018,0.04,0.04,0.03,0.04,0.02,0.04,0.03,0.08,0.24,0.04,0.03,0.79,2.87,49.80
East Troy town,2018,0.04,0.02,0.01,0.07,0.01,0.00,0.00,0.05,0.30,0.02,0.00,0.94,3.03,48.10
East Troy village,2018,0.06,0.03,0.03,0.04,0.01,0.01,0.01,0.05,0.25,0.01,0.00,0.80,2.86,39.70
Elkhorn city,2018,0.06,0.04,0.07,0.09,0.02,0.07,0.05,0.06,0.31,0.06,0.04,0.82,2.97,36.80
Fontana-on-Geneva Lake village,2018,0.04,0.05,0.01,0.04,0.01,0.04,0.01,0.02,0.17,0.04,0.01,0.90,2.56,59.20
Geneva town,2018,0.11,0.04,0.01,0.05,0.03,0.03,0.04,0.02,0.25,0.07,0.05,0.85,2.96,46.70
Genoa City village,2018,0.05,0.04,0.03,0.04,0.03,0.03,0.02,0.04,0.34,0.05,0.03,0.85,3.14,34.80
La Grange town,2018,0.07,0.02,0.03,0.07,0.01,0.02,0.01,0.03,0.24,0.02,0.01,0.85,2.91,52.10
Lafayette town,2018,0.02,0.03,0.01,0.05,0.02,0.02,0.00,0.04,0.27,0.02,0.00,0.84,2.91,47.80
Lake Geneva city,2018,0.08,0.09,0.03,0.13,0.04,0.08,0.05,0.05,0.28,0.09,0.06,0.81,2.91,38.50
Linn town,2018,0.11,0.03,0.03,0.07,0.03,0.01,0.03,0.07,0.28,0.10,0.09,0.87,2.92,48.90
Lyons town,2018,0.03,0.04,0.01,0.06,0.03,0.04,0.01,0.05,0.30,0.01,0.01,0.82,3.02,47.20
Mukwonago village,2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,1.00,2.88,33.70
Richmond town,2018,0.03,0.01,0.03,0.04,0.03,0.00,0.02,0.05,0.30,0.02,0.00,0.80,3.09,46.30
Sharon town,2018,0.05,0.02,0.02,0.09,0.01,0.04,0.05,0.05,0.20,0.07,0.05,0.70,2.71,53.80
Sharon village,2018,0.11,0.07,0.04,0.11,0.04,0.03,0.03,0.19,0.33,0.11,0.08,0.77,3.20,36.20
Spring Prairie town,2018,0.07,0.01,0.03,0.04,0.01,0.02,0.02,0.03,0.21,0.02,0.00,0.88,2.74,49.90
Sugar Creek town,2018,0.05,0.01,0.02,0.04,0.02,0.05,0.02,0.10,0.31,0.04,0.03,0.84,2.94,46.20
Troy town,2018,0.05,0.05,0.05,0.06,0.03,0.02,0.00,0.05,0.21,0.02,0.01,0.84,2.72,51.70
Walworth town,2018,0.05,0.13,0.06,0.06,0.03,0.08,0.02,0.08,0.32,0.07,0.02,0.77,3.09,43.70
Walworth village,2018,0.11,0.04,0.06,0.15,0.02,0.05,0.07,0.05,0.29,0.14,0.09,0.71,3.11,38.70
Whitewater city,2018,0.10,0.21,0.08,0.10,0.04,0.10,0.03,0.05,0.18,0.06,0.04,0.76,2.87,22.00
Whitewater town,2018,0.09,0.01,0.00,0.05,0.03,0.02,0.02,0.05,0.24,0.06,0.03,0.83,2.76,46.60
Williams Bay village,2018,0.07,0.02,0.03,0.18,0.05,0.06,0.02,0.03,0.25,0.06,0.02,0.84,2.76,48.20
Bloomfield town,2017,0.08,0.04,0.05,0.12,0.03,0.02,0.05,0.08,0.34,0.07,0.05,0.81,3.04,36.10
Bloomfield village,2017,0.08,0.04,0.07,0.09,0.10,0.02,0.01,0.06,0.32,0.04,0.03,0.81,3.06,42.00
Burlington city,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Darien town,2017,0.14,0.02,0.04,0.06,0.03,0.02,0.09,0.09,0.33,0.13,0.12,0.79,3.26,41.60
Darien village,2017,0.12,0.03,0.01,0.09,0.09,0.01,0.03,0.10,0.33,0.07,0.04,0.77,3.44,33.60
Delavan city,2017,0.17,0.08,0.04,0.11,0.04,0.11,0.11,0.10,0.29,0.16,0.15,0.75,3.10,36.70
Delavan town,2017,0.05,0.05,0.04,0.06,0.03,0.03,0.00,0.04,0.28,0.05,0.03,0.77,2.95,47.80
East Troy town,2017,0.06,0.02,0.01,0.10,0.02,0.00,0.00,0.04,0.28,0.02,0.01,0.94,2.95,49.30
East Troy village,2017,0.06,0.04,0.02,0.08,0.02,0.02,0.01,0.04,0.30,0.02,0.01,0.79,3.05,36.20
Elkhorn city,2017,0.08,0.07,0.04,0.10,0.03,0.06,0.04,0.04,0.30,0.07,0.04,0.79,2.91,37.50
Fontana-on-Geneva Lake village,2017,0.04,0.05,0.02,0.04,0.01,0.03,0.01,0.03,0.19,0.03,0.01,0.89,2.57,58.50
Geneva town,2017,0.08,0.04,0.01,0.08,0.03,0.04,0.04,0.03,0.24,0.07,0.06,0.84,2.86,47.80
Genoa City village,2017,0.06,0.02,0.03,0.06,0.03,0.03,0.02,0.05,0.36,0.04,0.03,0.88,3.23,31.90
La Grange town,2017,0.09,0.02,0.04,0.07,0.04,0.02,0.01,0.03,0.26,0.03,0.01,0.85,2.90,49.80
Lafayette town,2017,0.03,0.04,0.02,0.07,0.03,0.01,0.01,0.03,0.26,0.03,0.00,0.83,2.83,47.10
Lake Geneva city,2017,0.08,0.10,0.01,0.13,0.05,0.09,0.04,0.05,0.28,0.10,0.07,0.78,3.01,40.20
Linn town,2017,0.12,0.05,0.03,0.06,0.05,0.02,0.03,0.06,0.28,0.09,0.08,0.84,2.90,49.90
Lyons town,2017,0.04,0.04,0.01,0.06,0.01,0.02,0.01,0.05,0.29,0.01,0.01,0.81,3.07,45.70
Mukwonago village,2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,
Richmond town,2017,0.04,0.03,0.02,0.05,0.03,0.01,0.02,0.05,0.29,0.02,0.01,0.78,3.02,48.70
Sharon town,2017,0.06,0.02,0.02,0.08,0.01,0.03,0.04,0.05,0.22,0.06,0.03,0.70,2.63,51.90
Sharon village,2017,0.07,0.06,0.04,0.14,0.04,0.03,0.03,0.15,0.32,0.09,0.07,0.73,3.15,35.80
Spring Prairie town,2017,0.09,0.01,0.01,0.04,0.02,0.02,0.01,0.02,0.23,0.02,0.00,0.85,2.80,49.50
Sugar Creek town,2017,0.02,0.02,0.03,0.03,0.03,0.05,0.02,0.10,0.33,0.03,0.02,0.87,3.01,39.30
Troy town,2017,0.05,0.06,0.05,0.06,0.02,0.01,0.00,0.06,0.22,0.02,0.01,0.83,2.76,51.60
Walworth town,2017,0.05,0.05,0.05,0.08,0.03,0.09,0.02,0.10,0.32,0.04,0.02,0.71,3.05,43.60
Walworth village,2017,0.11,0.05,0.07,0.15,0.05,0.06,0.06,0.06,0.28,0.16,0.10,0.66,3.03,34.60
Whitewater city,2017,0.10,0.20,0.09,0.12,0.06,0.11,0.03,0.06,0.18,0.05,0.03,0.74,2.91,22.00
Whitewater town,2017,0.05,0.00,0.01,0.05,0.02,0.03,0.03,0.04,0.24,0.05,0.02,0.81,2.82,47.20
Williams Bay village,2017,0.07,0.02,0.02,0.14,0.04,0.05,0.02,0.04,0.25,0.06,0.02,0.82,2.83,46.60
Bloomfield town,2016,0.09,0.05,0.06,0.12,0.03,0.05,0.04,0.06,0.34,0.06,0.04,,3.12,37.70
Bloomfield village,2016,0.09,0.05,0.02,0.12,0.09,0.03,0.01,0.09,0.30,0.05,0.04,,3.17,42.00
Burlington city,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Darien town,2016,0.14,0.00,0.04,0.07,0.05,0.02,0.12,0.07,0.30,0.12,0.13,,3.19,43.30
Darien village,2016,0.16,0.03,0.04,0.11,0.08,0.01,0.06,0.10,0.31,0.09,0.07,,3.47,34.30
Delavan city,2016,0.16,0.09,0.04,0.14,0.05,0.10,0.10,0.11,0.30,0.15,0.14,,3.27,35.20
Delavan town,2016,0.06,0.05,0.04,0.07,0.04,0.04,0.02,0.06,0.24,0.05,0.02,,2.99,47.00
East Troy town,2016,0.04,0.02,0.01,0.11,0.02,0.00,0.00,0.05,0.24,0.02,0.01,,2.79,52.00
East Troy village,2016,0.06,0.07,0.05,0.08,0.02,0.03,0.00,0.05,0.36,0.02,0.00,,3.27,35.00
Elkhorn city,2016,0.08,0.06,0.04,0.10,0.05,0.05,0.04,0.04,0.33,0.05,0.03,,2.96,37.00
Fontana-on-Geneva Lake village,2016,0.03,0.04,0.02,0.05,0.02,0.03,0.01,0.02,0.23,0.01,0.01,,2.75,56.90
Geneva town,2016,0.07,0.02,0.05,0.07,0.06,0.06,0.03,0.04,0.27,0.06,0.04,,2.92,44.80
Genoa City village,2016,0.09,0.04,0.02,0.09,0.04,0.04,0.02,0.07,0.37,0.04,0.02,,3.35,32.00
La Grange town,2016,0.08,0.03,0.05,0.05,0.04,0.02,0.00,0.03,0.25,0.02,0.00,,2.87,49.60
Lafayette town,2016,0.04,0.04,0.00,0.05,0.02,0.01,0.02,0.03,0.29,0.03,0.01,,2.98,44.90
Lake Geneva city,2016,0.11,0.11,0.02,0.15,0.04,0.11,0.05,0.05,0.28,0.11,0.09,,3.05,41.10
Linn town,2016,0.11,0.05,0.03,0.09,0.05,0.02,0.03,0.06,0.30,0.09,0.07,,3.02,49.80
Lyons town,2016,0.05,0.06,0.01,0.08,0.02,0.01,0.01,0.05,0.31,0.02,0.01,,3.16,44.40
Mukwonago village,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.05,
Richmond town,2016,0.04,0.03,0.03,0.06,0.05,0.03,0.02,0.06,0.27,0.03,0.01,,2.98,48.60
Sharon town,2016,0.06,0.02,0.03,0.08,0.02,0.04,0.04,0.06,0.22,0.05,0.03,,2.57,52.30
Sharon village,2016,0.09,0.06,0.05,0.18,0.06,0.04,0.03,0.11,0.35,0.07,0.05,,3.22,34.40
Spring Prairie town,2016,0.06,0.02,0.02,0.07,0.05,0.03,0.02,0.02,0.26,0.02,0.01,,3.02,48.70
Sugar Creek town,2016,0.03,0.03,0.02,0.05,0.03,0.04,0.02,0.11,0.33,0.03,0.03,,3.11,39.50
Troy town,2016,0.04,0.04,0.05,0.06,0.03,0.01,0.00,0.05,0.25,0.02,0.01,,2.86,48.20
Walworth town,2016,0.06,0.06,0.05,0.08,0.05,0.08,0.02,0.05,0.30,0.04,0.01,,3.06,44.10
Walworth village,2016,0.11,0.07,0.07,0.15,0.06,0.06,0.05,0.06,0.29,0.16,0.11,,3.06,35.10
Whitewater city,2016,0.10,0.21,0.09,0.14,0.06,0.11,0.04,0.05,0.20,0.05,0.04,,2.90,22.00
Whitewater town,2016,0.06,0.00,0.01,0.06,0.02,0.03,0.03,0.04,0.28,0.03,0.01,,3.00,47.00
Williams Bay village,2016,0.07,0.03,0.03,0.14,0.03,0.04,0.01,0.04,0.23,0.06,0.02,,2.80,47.70
Bloomfield town,2015,0.07,0.04,0.05,0.06,0.02,0.03,0.07,0.04,0.35,0.09,0.08,,3.39,30.50
Bloomfield village,2015,0.10,0.03,0.00,0.12,0.08,0.02,0.01,0.10,0.31,0.05,0.04,,3.26,42.80
Burlington city,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Darien town,2015,0.13,0.00,0.05,0.08,0.05,0.02,0.10,0.08,0.30,0.10,0.10,,3.21,40.30
Darien village,2015,0.16,0.04,0.05,0.15,0.10,0.01,0.08,0.10,0.31,0.08,0.08,,3.47,32.50
Delavan city,2015,0.17,0.09,0.04,0.13,0.07,0.11,0.10,0.11,0.30,0.15,0.13,,3.23,34.90
Delavan town,2015,0.07,0.03,0.04,0.08,0.05,0.02,0.02,0.05,0.27,0.05,0.02,,3.04,45.60
East Troy town,2015,0.06,0.03,0.00,0.15,0.03,0.00,0.00,0.07,0.22,0.01,0.00,,2.72,52.10
East Troy village,2015,0.08,0.09,0.04,0.12,0.03,0.03,0.01,0.06,0.38,0.03,0.01,,3.27,31.90
Elkhorn city,2015,0.08,0.05,0.04,0.09,0.05,0.05,0.04,0.04,0.33,0.05,0.03,,2.96,36.60
Fontana-on-Geneva Lake village,2015,0.03,0.02,0.02,0.06,0.01,0.04,0.00,0.02,0.22,0.02,0.01,,2.71,58.70
Geneva town,2015,0.11,0.07,0.03,0.12,0.04,0.06,0.05,0.05,0.28,0.07,0.05,,3.06,45.20
Genoa City village,2015,0.08,0.03,0.04,0.08,0.06,0.04,0.02,0.06,0.37,0.04,0.04,,3.41,32.90
La Grange town,2015,0.10,0.02,0.04,0.04,0.04,0.01,0.00,0.03,0.30,0.01,0.00,,3.04,46.50
Lafayette town,2015,0.07,0.02,0.00,0.06,0.02,0.01,0.03,0.03,0.31,0.05,0.03,,3.16,43.60
Lake Geneva city,2015,0.12,0.10,0.02,0.15,0.05,0.10,0.06,0.07,0.28,0.12,0.09,,3.11,41.20
Linn town,2015,0.09,0.03,0.01,0.12,0.06,0.03,0.03,0.06,0.27,0.07,0.04,,2.96,51.00
Lyons town,2015,0.07,0.07,0.01,0.08,0.03,0.01,0.02,0.05,0.28,0.03,0.02,,3.26,43.40
Mukwonago village,2015,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,,2.50,32.70
Richmond town,2015,0.06,0.04,0.04,0.06,0.05,0.03,0.02,0.08,0.22,0.03,0.01,,2.84,50.90
Sharon town,2015,0.07,0.03,0.04,0.09,0.02,0.04,0.04,0.05,0.22,0.05,0.03,,2.59,51.80
Sharon village,2015,0.12,0.09,0.03,0.19,0.09,0.05,0.03,0.11,0.32,0.06,0.04,,3.15,36.30
Spring Prairie town,2015,0.05,0.02,0.02,0.08,0.05,0.03,0.02,0.02,0.26,0.02,0.00,,3.03,48.00
Sugar Creek town,2015,0.02,0.05,0.02,0.07,0.05,0.05,0.02,0.10,0.33,0.03,0.03,,3.09,39.20
Troy town,2015,0.04,0.04,0.05,0.06,0.05,0.01,0.00,0.05,0.26,0.02,0.01,,2.89,46.70
Walworth town,2015,0.08,0.06,0.05,0.08,0.07,0.09,0.02,0.05,0.29,0.04,0.01,,3.07,44.00
Walworth village,2015,0.05,0.09,0.07,0.15,0.08,0.05,0.05,0.05,0.29,0.16,0.10,,3.13,35.50
Whitewater city,2015,0.10,0.20,0.10,0.17,0.05,0.11,0.04,0.05,0.20,0.05,0.04,,2.93,22.00
Whitewater town,2015,0.03,0.01,0.02,0.07,0.02,0.02,0.04,0.05,0.29,0.04,0.02,,3.09,46.60
Williams Bay village,2015,0.07,0.03,0.02,0.14,0.03,0.04,0.01,0.05,0.23,0.06,0.02,,2.77,47.70
Bloomfield town,2014,0.11,0.03,0.04,0.08,0.03,0.03,0.12,0.08,0.31,0.11,0.11,,3.24,33.10
Bloomfield village,2014,0.14,0.04,0.00,0.11,0.11,0.02,0.01,0.10,0.29,0.05,0.04,,3.03,43.70
Burlington city,2014,,,,,,,,,,,,,,
Darien town,2014,0.08,0.01,0.04,0.08,0.05,0.03,0.09,0.08,0.31,0.06,0.05,,3.12,43.50
Darien village,2014,0.19,0.04,0.06,0.16,0.12,0.00,0.07,0.07,0.30,0.10,0.10,,3.27,34.00
Delavan city,2014,0.15,0.08,0.03,0.13,0.06,0.06,0.08,0.10,0.29,0.13,0.12,,3.20,35.60
Delavan town,2014,0.08,0.02,0.04,0.10,0.04,0.02,0.03,0.06,0.29,0.07,0.03,,3.14,40.50
East Troy town,2014,0.04,0.02,0.00,0.11,0.02,0.00,0.00,0.02,0.22,0.01,0.00,,2.66,50.80
East Troy village,2014,0.07,0.09,0.03,0.10,0.04,0.03,0.02,0.05,0.39,0.04,0.01,,3.07,31.90
Elkhorn city,2014,0.11,0.05,0.04,0.11,0.07,0.05,0.04,0.05,0.34,0.04,0.03,,2.96,34.80
Fontana-on-Geneva Lake village,2014,0.03,0.02,0.02,0.08,0.01,0.05,0.01,0.02,0.19,0.02,0.01,,2.64,58.50
Geneva town,2014,0.12,0.05,0.04,0.15,0.05,0.08,0.04,0.07,0.28,0.08,0.05,,2.98,44.10
Genoa City village,2014,0.10,0.03,0.03,0.09,0.08,0.02,0.03,0.07,0.36,0.05,0.04,,3.30,32.80
La Grange town,2014,0.08,0.01,0.04,0.05,0.05,0.01,0.00,0.03,0.30,0.01,0.00,,2.95,46.30
Lafayette town,2014,0.08,0.02,0.00,0.07,0.02,0.01,0.04,0.05,0.29,0.04,0.02,,3.07,43.40
Lake Geneva city,2014,0.16,0.09,0.02,0.14,0.06,0.09,0.06,0.08,0.28,0.12,0.09,,3.06,40.80
Linn town,2014,0.08,0.05,0.02,0.12,0.07,0.03,0.03,0.05,0.24,0.07,0.02,,2.80,51.70
Lyons town,2014,0.09,0.06,0.02,0.09,0.04,0.02,0.02,0.04,0.27,0.03,0.01,,3.25,44.40
Mukwonago village,2014,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,,2.41,32.80
Richmond town,2014,0.07,0.04,0.03,0.07,0.06,0.04,0.01,0.08,0.21,0.03,0.01,,2.82,49.60
Sharon town,2014,0.09,0.04,0.03,0.06,0.03,0.02,0.03,0.04,0.24,0.04,0.02,,2.70,50.10
Sharon village,2014,0.13,0.09,0.02,0.17,0.07,0.04,0.03,0.12,0.31,0.06,0.05,,3.08,35.40
Spring Prairie town,2014,0.12,0.04,0.02,0.07,0.05,0.03,0.03,0.02,0.25,0.07,0.01,,3.23,43.80
Sugar Creek town,2014,0.07,0.04,0.02,0.04,0.04,0.02,0.03,0.06,0.34,0.03,0.04,,3.12,36.20
Troy town,2014,0.08,0.03,0.03,0.05,0.06,0.01,0.00,0.05,0.28,0.01,0.00,,2.86,47.30
Walworth town,2014,0.06,0.06,0.04,0.08,0.08,0.08,0.02,0.07,0.30,0.03,0.01,,2.98,45.60
Walworth village,2014,0.13,0.06,0.06,0.12,0.08,0.05,0.03,0.05,0.27,0.14,0.09,,3.05,35.10
Whitewater city,2014,0.11,0.21,0.08,0.16,0.05,0.11,0.06,0.05,0.23,0.07,0.05,,2.90,22.40
Whitewater town,2014,0.01,0.02,0.02,0.06,0.03,0.02,0.03,0.04,0.25,0.03,0.02,,2.85,48.90
Williams Bay village,2014,0.07,0.03,0.02,0.10,0.04,0.03,0.02,0.05,0.26,0.04,0.02,,2.82,42.50
